lap,Start,Lakes Start,2nd Lake,Lakes End,Finish
Lipno_Classic_1 1,0.0,191.425793335,363.460692719,575.221945873,675.421944916
Lipno_Classic_2 1,0.0,191.591601365,361.81971338100004,570.178545065,672.459891734
Lipno_practice_1 1,0.0,392.545234025,796.1749159120001,,
Lipno_practice_1 2,0.0,269.583192875,484.457031796,766.48310514,875.2398638980001
Lipno_practice_1 3,,,,0.0,106.091587636
Lipno_practice_2 1,0.0,398.022443457,594.650518088,885.4860023580001,1158.5332129340002
Lipno_practice_2 2,0.0,624.694060999,879.2670796320001,1164.3908778900002,1352.547089337
Lipno_practice_2 3,0.0,199.44744462900002,685.6036781920001,919.6027131230001,1016.810996085
Lipno_practice_2 4,0.0,198.470454909,473.29879613800006,837.632893691,987.636201965
Lipno_practice_2 5,0.0,344.078271468,561.406480986,909.168586118,1004.1589907340001
